Source,Main Measure,Detailed Measure,Region,Age,Race,Units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LUV-it,Employment,Public GovEd,Pierce County,NA,NA,Thousands,59.206,63.414,67.622,67.9072,68.1924,68.4776,68.7628,69.048,69.8444,70.6408,71.4372,72.2336,73.03,73.8752,74.7204,75.5656,76.4108,77.256,77.8614,78.4668,79.0722,79.6776,80.283,80.79525,81.3075,81.81975,82.332,82.75666667,83.18133333,83.606,84.03066667,84.45533333,84.88
LUV-it,Employment,Public GovEd,Snohomish County,NA,NA,Thousands,39.554,41.651,43.748,44.4634,45.1788,45.8942,46.6096,47.325,48.265,49.205,50.145,51.085,52.025,52.898,53.771,54.644,55.517,56.39,56.9958,57.6016,58.2074,58.8132,59.419,60.01125,60.6035,61.19575,61.788,62.32316667,62.85833333,63.3935,63.92866667,64.46383333,64.999
LUV-it,Employment,Retail (No 722),Region,NA,NA,Thousands,238.635,243.1105,247.586,253.1476,258.7092,264.2708,269.8324,275.394,280.0692,284.7444,289.4196,294.0948,298.77,303.8882,309.0064,314.1246,319.2428,324.361,329.1942,334.0274,338.8606,343.6938,348.527,353.10925,357.6915,362.27375,366.856,371.4008333,375.9456667,380.4905,385.0353333,389.5801667,394.125
LUV-it,Employment,Retail (No 722),King County,NA,NA,Thousands,157.449,160.481,163.513,166.8498,170.1866,173.5234,176.8602,180.197,182.8572,185.5174,188.1776,190.8378,193.498,196.4636,199.4292,202.3948,205.3604,208.326,211.0342,213.7424,216.4506,219.1588,221.867,224.3365,226.806,229.2755,231.745,234.2171667,236.6893333,239.1615,241.6336667,244.1058333,246.578
LUV-it,Employment,Retail (No 722),Kitsap County,NA,NA,Thousands,11.037,11.367,11.697,11.995,12.293,12.591,12.889,13.187,13.4872,13.7874,14.0876,14.3878,14.688,14.955,15.222,15.489,15.756,16.023,16.311,16.599,16.887,17.175,17.463,17.722,17.981,18.24,18.499,18.78733333,19.07566667,19.364,19.65233333,19.94066667,20.229
LUV-it,Employment,Retail (No 722),Pierce County,NA,NA,Thousands,35.245,35.6965,36.148,36.9494,37.7508,38.5522,39.3536,40.155,40.8022,41.4494,42.0966,42.7438,43.391,44.1486,44.9062,45.6638,46.4214,47.179,47.9548,48.7306,49.5064,50.2822,51.058,51.79425,52.5305,53.26675,54.003,54.8135,55.624,56.4345,57.245,58.0555,58.866
LUV-it,Employment,Retail (No 722),Snohomish County,NA,NA,Thousands,34.904,35.566,36.228,37.3534,38.4788,39.6042,40.7296,41.855,42.9226,43.9902,45.0578,46.1254,47.193,48.321,49.449,50.577,51.705,52.833,53.8942,54.9554,56.0166,57.0778,58.139,59.2565,60.374,61.4915,62.609,63.58283333,64.55666667,65.5305,66.50433333,67.47816667,68.452
LUV-it,Employment,Uniformed Military,Region,NA,NA,Thousands,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546,45.546
LUV-it,Employment,Uniformed Military,King County,NA,NA,Thousands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUV-it,Employment,Uniformed Military,Kitsap County,NA,NA,Thousands,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882,7.882
LUV-it,Employment,Uniformed Military,Pierce County,NA,NA,Thousands,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853,31.853
LUV-it,Employment,Uniformed Military,Snohomish County,NA,NA,Thousands,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811,5.811
LUV-it,Employment,WTU,Region,NA,NA,Thousands,172.724,170.266,167.808,169.7536,171.6992,173.6448,175.5904,177.536,179.1366,180.7372,182.3378,183.9384,185.539,187.423,189.307,191.191,193.075,194.959,196.3038,197.6486,198.9934,200.3382,201.683,202.91875,204.1545,205.39025,206.626,207.6576667,208.6893333,209.721,210.7526667,211.7843333,212.816
LUV-it,Employment,WTU,King County,NA,NA,Thousands,122.351,121.4475,120.544,121.5674,122.5908,123.6142,124.6376,125.661,126.482,127.303,128.124,128.945,129.766,130.7402,131.7144,132.6886,133.6628,134.637,135.1622,135.6874,136.2126,136.7378,137.263,137.7175,138.172,138.6265,139.081,139.4978333,139.9146667,140.3315,140.7483333,141.1651667,141.582
LUV-it,Employment,WTU,Kitsap County,NA,NA,Thousands,2.472,2.4295,2.387,2.4558,2.5246,2.5934,2.6622,2.731,2.785,2.839,2.893,2.947,3.001,3.0638,3.1266,3.1894,3.2522,3.315,3.3868,3.4586,3.5304,3.6022,3.674,3.75175,3.8295,3.90725,3.985,4.060333333,4.135666667,4.211,4.286333333,4.361666667,4.437
LUV-it,Employment,WTU,Pierce County,NA,NA,Thousands,33.012,31.625,30.238,30.6274,31.0168,31.4062,31.7956,32.185,32.4796,32.7742,33.0688,33.3634,33.658,34.0058,34.3536,34.7014,35.0492,35.397,35.7044,36.0118,36.3192,36.6266,36.934,37.23125,37.5285,37.82575,38.123,38.3755,38.628,38.8805,39.133,39.3855,39.638
LUV-it,Employment,WTU,Snohomish County,NA,NA,Thousands,14.889,14.764,14.639,15.103,15.567,16.031,16.495,16.959,17.39,17.821,18.252,18.683,19.114,19.6132,20.1124,20.6116,21.1108,21.61,22.0504,22.4908,22.9312,23.3716,23.812,24.21825,24.6245,25.03075,25.437,25.724,26.011,26.298,26.585,26.872,27.159
LUV-it,Employment,FIRE and Services,Region,NA,NA,Thousands,1191.466,1210.68,1229.894,1254.0454,1278.1968,1302.3482,1326.4996,1350.651,1375.3172,1399.9834,1424.6496,1449.3158,1473.982,1499.088,1524.194,1549.3,1574.406,1599.512,1627.2562,1655.0004,1682.7446,1710.4888,1738.233,1767.83425,1797.4355,1827.03675,1856.638,1886.572667,1916.507333,1946.442,1976.376667,2006.311333,2036.246
LUV-it,Employment,FIRE and Services,King County,NA,NA,Thousands,855.721,870.144,884.567,899.707,914.847,929.987,945.127,960.267,976.1744,992.0818,1007.9892,1023.8966,1039.804,1056.0106,1072.2172,1088.4238,1104.6304,1120.837,1138.478,1156.119,1173.76,1191.401,1209.042,1227.7435,1246.445,1265.1465,1283.848,1302.298667,1320.749333,1339.2,1357.650667,1376.101333,1394.552
LUV-it,Employment,FIRE and Services,Kitsap County,NA,NA,Thousands,41.266,42.585,43.904,45.0986,46.2932,47.4878,48.6824,49.877,50.9612,52.0454,53.1296,54.2138,55.298,56.3768,57.4556,58.5344,59.6132,60.692,61.8498,63.0076,64.1654,65.3232,66.481,67.71425,68.9475,70.18075,71.414,72.70066667,73.98733333,75.274,76.56066667,77.84733333,79.134
LUV-it,Employment,FIRE and Services,Pierce County,NA,NA,Thousands,162.733,164.377,166.021,169.951,173.881,177.811,181.741,185.671,189.4292,193.1874,196.9456,200.7038,204.462,208.0858,211.7096,215.3334,218.9572,222.581,226.5838,230.5866,234.5894,238.5922,242.595,246.8995,251.204,255.5085,259.813,264.2993333,268.7856667,273.272,277.7583333,282.2446667,286.731
LUV-it,Employment,FIRE and Services,Snohomish County,NA,NA,Thousands,131.746,133.574,135.402,139.2888,143.1756,147.0624,150.9492,154.836,158.7524,162.6688,166.5852,170.5016,174.418,178.6148,182.8116,187.0084,191.2052,195.402,200.3446,205.2872,210.2298,215.1724,220.115,225.477,230.839,236.201,241.563,247.274,252.985,258.696,264.407,270.118,275.829
